,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Value,Name used in spreadsheet,,,,,,,,,,,,,,,,,,
Key input parameters in model ,,,,,,,,,,,,,,,,,,,,,,,,
Size of time step (days),,,,,0.5,t_step,,,,,,,,,,,,,,,,,,
Total population size,,,,,5234,tot_popn,,,,,,,,,,,,,,,,,,
Average pre-infectious period (days) ,,,,,2,ave_preinfous,,,,,,,,,,,,,,,,,,
Average duration of infectiousness (days),,,,,2,ave_infous,,,,,,,,,,,,,,,,,,
R0,,,,,2.1,R0,,,,,,,,,,,,,,,,,,
Proportion immune at the start,,,,,0.3,prop_immune_0,,,,,,,,,,,,,,,,,,
Proportion of those infectious who are reported as cases,,,,,0.8,prop_reported,,,,,,,,,,,,,,,,,,
Number infectious at the start,,,,,2,infous_0,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Rate at which two specific individuals come into effective contact per time step,,,,,0.000100306,beta,,,,,,,,,,,,,,,,,,
Average rate of onset of infectiousness per time step (f),,,,,0.25,infous_rate,,,,,,,,,,,,,,,,,,
Average recovery rate per time step (r ),,,,,0.25,rec_rate,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Goodness of fit (loglikelihood deviance),,,1733.264549,,,,,,,,,,,,,,,,,,,,,
15,3635.615515,5.635945852,4.6646902,1588.083849,1.339467116,1.071573693,,,,,,,,,,,,,,,,,,
15.5,3633.914428,5.928045658,4.907504113,1589.250022,1.408986463,1.12718917,,,,,,,,,,,,,,,,,,
16,3632.125632,6.234830814,5.162639499,1590.476898,1.482011414,1.185609132,,,,,,,,,,,,,,,,,,
16.5,3630.244764,6.556990804,5.430687328,1591.767558,1.558707703,1.246966163,,,,,,,,,,,,,,,,,,
17,3628.267265,6.89524219,5.712263197,1593.12523,1.639247701,1.311398161,,,,,,,,,,,,,,,,,,
17.5,3626.188368,7.250329087,6.008007945,1594.553295,1.723810548,1.379048438,,,,,,,,,,,,,,,,,,
18,3624.003091,7.623023558,6.318588231,1596.055297,1.812582272,1.450065817,,,,,,,,,,,,,,,,,,
18.5,3621.706233,8.014125946,6.644697063,1597.634944,1.90575589,1.524604712,,,,,,,,,,,,,,,,,,
19,3619.292362,8.424465094,6.987054283,1599.296119,2.003531486,1.602825189,,,,,,,,,,,,,,,,,,
19.5,3616.755812,8.854898477,7.346406986,1601.042882,2.106116273,1.684893019,,,,,,,,,,,,,,,,,,
20,3614.090674,9.306312201,7.723529859,1602.879484,2.213724619,1.770979695,,,,,,,,,,,,,,,,,,
20.5,3611.290787,9.779620862,8.119225444,1604.810366,2.32657805,1.86126244,,,,,,,,,,,,,,,,,,
21,3608.349736,10.27576726,8.534324299,1606.840173,2.444905216,1.955924172,20.19097511,,,,,,,,,,,,,,,,,
21.5,3605.260839,10.7957219,8.969685038,1608.973754,2.568941814,2.055153451,,,,,,,,,,,,,,,,,,
22,3602.017148,11.34048238,9.426194255,1611.216175,2.698930476,2.159144381,,,,,,,,,,,,,,,,,,
22.5,3598.611438,11.91107243,9.904766287,1613.572724,2.835120596,2.268096477,,,,,,,,,,,,,,,,,,
