,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,Value,Name used in spreadsheet,,,,,,,,,,,
Key input parameters in model ,,,,,,,,,,,,,,,,,
Size of time step (days),,,,,1,t_step,,,,,,,,,,,
Total population size,,,,,100000,tot_popn,,,,,,,,,,,
Average pre-infectious period (days) ,,,,,2,ave_preinfous,,,,,,,,,,,
Average duration of infectiousness (days),,,,,2,ave_infous,,,,,,,,,,,
R0,,,,,2,R0,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Rate at which two specific individuals come into effective contact per time step,,,,,0.00001,beta,,,,,,,,,,,
Average rate of onset of infectiousness per time step (f),,,,,0.5,infous_rate,,,,,,,,,,,
Average recovery rate per time step (r ),,,,,0.5,rec_rate,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
30,99321.42382,198.1917278,140.5487709,339.8356796,115.9419337,82.24979406,,100000,,,27953.44435,12584.20041,59462.35524,4999.011868,,,
31,99181.82878,238.6909043,169.3702493,410.110065,139.5950404,99.09586388,,100000,,,24435.72689,9809.817665,65754.45545,3517.717459,,,
32,99013.84427,287.3299629,204.0305768,494.7951897,167.9845107,119.3454522,,100000,,,22038.62664,7302.009085,70659.36428,2397.100253,,,
33,98811.82575,345.683499,245.6802698,596.8104781,202.0185176,143.6649814,,100000,,,20429.36412,5260.267062,74310.36882,1609.262519,,,
34,98569.06459,415.6029097,295.6818844,719.650613,242.7611601,172.8417495,,100000,,,19354.72501,3704.772643,76940.50235,1074.639112,,,
35,98277.61373,499.2523225,355.6423971,867.4915552,291.4508677,207.8014548,,100000,,,18637.67645,2569.434878,78792.88867,717.0485571,,,
36,97928.09686,599.1430225,427.4473598,1045.312754,349.5168612,249.6261612,,100000,,,18158.79349,1763.600398,80077.60611,478.8829592,,,
37,97509.5058,718.1625758,513.2951911,1259.036434,418.5910645,299.5715112,,100000,,,17838.54494,1202.048754,80959.40631,320.2485543,,,
38,97008.9942,859.592892,615.7288834,1515.684029,500.5116042,359.0812879,,100000,,,17624.11693,815.4523838,81560.43069,214.428007,,,
39,96411.6818,1027.108843,737.6608877,1823.548471,597.3123968,429.796446,,100000,,,17480.40065,551.4424735,81968.15688,143.7162816,,,
